"species_code" "type" "count" "prop_mixed"
"1" "Ap" "mixed" 30 0.277777777777778
"2" "Dp" "mixed" 3 0.0277777777777778
"3" "Hi" "mixed" 19 0.175925925925926
"4" "Hj" "mixed" 30 0.277777777777778
"5" "hk" "mixed" 30 0.277777777777778
"6" "Ma" "mixed" 7 0.0648148148148148
"7" "Mr" "mixed" 25 0.231481481481481
"8" "Pf" "mixed" 25 0.231481481481481
"9" "Pr" "mixed" 25 0.231481481481481
"10" "Rc" "mixed" 60 0.555555555555556
"11" "Rr" "mixed" 33 0.305555555555556
"12" "Rs" "mixed" 25 0.231481481481481
